date,daily_weighted_avg,Category
20220508,-0.06551757142857143,NVIDIA Corp
20220509,-0.1430528181818182,NVIDIA Corp
20220510,-0.022165636363636363,NVIDIA Corp
20220511,0.03349590909090909,NVIDIA Corp
20220512,-0.15801484615384617,NVIDIA Corp
20220513,-0.07843558490566038,NVIDIA Corp
20220514,0.198178,NVIDIA Corp
20220515,-0.11299018181818181,NVIDIA Corp
20220516,-0.16632575000000002,NVIDIA Corp
20220517,0.007728730769230766,NVIDIA Corp
20220518,-0.07673489285714286,NVIDIA Corp
20220519,-0.1156756,NVIDIA Corp
20220520,-0.17019876666666667,NVIDIA Corp
20220521,-0.31236933333333333,NVIDIA Corp
20220522,-0.23253211111111108,NVIDIA Corp
20220523,-0.041378318181818176,NVIDIA Corp
20220524,0.006210565217391306,NVIDIA Corp
20220525,-0.06529303738317757,NVIDIA Corp
